id,title,authors,publisher,published_date,description,reading_modes,page_count,categories,language,is_ebook,epub_is_available,pdf_is_available,maturity_rating,public_domain,image_links,preview_link
7BVpJulfI_EC,The Dwelling,Susie Moloney,Pocket Books,2004,"In the tradition of Shirley Jackson's ""The Haunting of Hill House,"" this novel about a suburban home that has as many secrets as owners is told through the stories of three families who occupy the house.",,580.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=7BVpJulfI_EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=7BVpJulfI_EC&dq=subject:horror&hl=&cd=186&source=gbs_api
1eVUGwAACAAJ,The Babysitter III,R. L. Stine,Point,1993,"Eager to escape her haunting past, Jenny visits her cousin, also a baby-sitter, and brings her bad luck with her. By the author of The Baby-sitter and The Baby-sitter II. Original.",,183.0,['Juvenile Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=1eVUGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=1eVUGwAACAAJ&dq=subject:horror&hl=&cd=187&source=gbs_api
OxrgnQEACAAJ,Scary Stories 3,,,1991-09-20,"More traditional and modern-day stories of ghosts, haunts, superstitions, monsters, and horrible scary things.",,115.0,['Juvenile Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=OxrgnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=OxrgnQEACAAJ&dq=subject:horror&hl=&cd=188&source=gbs_api
VULcHAAACAAJ,Diary of a Mad Mummy,R. L. Stine,Scholastic Paperbacks,1996,"In San Francisco, an exhibit of Egyptian artifacts leads the reader to a weird diary and a spooky search for a real mummy who's on the run!",,136.0,['Juvenile Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=VULcHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=VULcHAAACAAJ&dq=subject:horror&hl=&cd=189&source=gbs_api
DMsLAQAAMAAJ,Barfodder,Rain Graves,,2008,A collection of over 100 macabre poems which display a wry wit.,,260.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=DMsLAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=DMsLAQAAMAAJ&dq=subject:horror&hl=&cd=190&source=gbs_api
5UhBGwAACAAJ,Scream of the Evil Genie,R. L. Stine,Apple,1997-01-01,"A genie is released from a soda can and offers three wishes that, when granted, can involve a host of unexpected side effects, in an adventure with several possible endings. Original.",,137.0,['Juvenile Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=5UhBGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=5UhBGwAACAAJ&dq=subject:horror&hl=&cd=191&source=gbs_api
q45SPgAACAAJ,Everville,Clive Barker,Harpercollins,1994,"A survivor of a lost band of pioneers witnesses a ceremony performed by creatures from Quiddity, the dream-sea, which leads to a confrontation with malignant forces from the land Ouroboros",,697.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=q45SPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=q45SPgAACAAJ&dq=subject:horror&hl=&cd=192&source=gbs_api
NJEJQgAACAAJ,House of Reckoning,John Saul,"Wheeler Publishing, Incorporated",2009,"Outcast by an injury sustained from her father, foster child Sara Crane befriends a former mental patient and her art teacher and soon creates paintings of long-ago violent crimes committed by the inmates of a local asylum.",,523.0,['Fiction'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=NJEJQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=NJEJQgAACAAJ&dq=subject:horror&hl=&cd=193&source=gbs_api
xj5uQaj1uGkC,Dark Dreams,Brandon Massey,Dafina Books,2004,"Featuring stories by acclaimed authors Zane, Tanarive Due and Robert Fleming, this collection, selected by award-winning author Brandon Massey, will chill readers to the bone. They are guaranteed to experience terror in every tingling tale from family legends to African lore - from ancient horror reborn in the jungles of Brazil to mysterious treasure recovered in a suburban garage - from weird obsession to forbidden possesion, these stories will send heart rates soaring and minds racing.",,350.0,['Fiction'],en,False,False,True,NOT_MATURE,False,http://books.google.com/books/content?id=xj5uQaj1uGkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=xj5uQaj1uGkC&dq=subject:horror&hl=&cd=194&source=gbs_api
w2pZEAAAQBAJ,The Gathering Dark,"Erica Waters, Chloe Gong, Tori Bovalino, Hannah Whitten, Allison Saft, Olivia Chadha, Courtney Gould, Aden Polydoros, SMP Alex Brown, Shakira Toussaint",Page Street Kids,2022-09-06,"These are the stories that haunt us A cemetery full of the restless dead. A town so wicked it has already burned twice, with the breath of the third fire looming. A rural, isolated bridge with a terrifying monster waiting for the completion of its summoning ritual. A lake that allows the drowned to return, though they have been changed by the claws of death. These are the shadowed, liminal spaces where the curses and monsters lurk, refusing to be forgotten. Hauntings, and a variety of horrifying secrets, lurk in the places we once called home. Written by New York Times bestselling, and other critically acclaimed, authors these stories shed a harsh light on the scariest tales we grew up with.",text,0.0,['FICTION'],en,False,False,False,NOT_MATURE,False,http://books.google.com/books/content?id=w2pZEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com.br/books?id=w2pZEAAAQBAJ&dq=subject:horror&hl=&cd=195&source=gbs_api
